"","Location","Congener","Test_Data","Predicted_Data","RMSE","Correlation","NumTrees","Mtry","SplitRule","MinNodeSize","Factor2"
"1","Bannister Fed Complex","PCB1",2.88081359228079,2.88798996769672,0.221770101070244,0.946614042044296,100,2,"variance",3,80
"2","Bannister Fed Complex","PCB1",2.92012332629072,2.89508465292611,0.221770101070244,0.946614042044296,100,2,"variance",3,80
"3","Bannister Fed Complex","PCB1",2.75434833571102,2.74302731801411,0.221770101070244,0.946614042044296,100,2,"variance",3,80
"4","Bannister Fed Complex","PCB1",3.81291335664286,3.49962004460259,0.221770101070244,0.946614042044296,100,2,"variance",3,80
"5","Bannister Fed Complex","PCB1",3.73078227566639,3.52671443770032,0.221770101070244,0.946614042044296,100,2,"variance",3,80
"6","Bannister Fed Complex","PCB1",1.98989456371877,2.42059154911562,0.221770101070244,0.946614042044296,100,2,"variance",3,80
"7","Bannister Fed Complex","PCB1",2.76566855475901,2.70178925733757,0.221770101070244,0.946614042044296,100,2,"variance",3,80
"8","Bannister Fed Complex","PCB1",2.69196510276736,2.96484897823275,0.221770101070244,0.946614042044296,100,2,"variance",3,80
"9","Bannister Fed Complex","PCB1",2.73559889969818,3.02966446493076,0.221770101070244,0.946614042044296,100,2,"variance",3,80
"10","Bannister Fed Complex","PCB1",2.89376176205794,2.92014680408047,0.221770101070244,0.946614042044296,100,2,"variance",3,80
"11","Bannister Fed Complex","PCB4.10",3.13033376849501,3.05212538888528,0.294316710730023,0.932794215133834,1000,4,"variance",3,75
"12","Bannister Fed Complex","PCB4.10",3.32428245529769,2.78282498513091,0.294316710730023,0.932794215133834,1000,4,"variance",3,75
"13","Bannister Fed Complex","PCB4.10",2.83569057149243,2.66287540109473,0.294316710730023,0.932794215133834,1000,4,"variance",3,75
"14","Bannister Fed Complex","PCB4.10",2.39967372148104,2.47601721010406,0.294316710730023,0.932794215133834,1000,4,"variance",3,75
"15","Bannister Fed Complex","PCB4.10",2.84571801796666,2.72004664327466,0.294316710730023,0.932794215133834,1000,4,"variance",3,75
"16","Bannister Fed Complex","PCB4.10",4.25358028956218,4.03390953593637,0.294316710730023,0.932794215133834,1000,4,"variance",3,75
"17","Bannister Fed Complex","PCB4.10",4.7626035495668,4.13709448509188,0.294316710730023,0.932794215133834,1000,4,"variance",3,75
"18","Bannister Fed Complex","PCB4.10",4.35391623092036,4.12484431209589,0.294316710730023,0.932794215133834,1000,4,"variance",3,75
"19","Bannister Fed Complex","PCB4.10",4.07936216439305,4.03417873417258,0.294316710730023,0.932794215133834,1000,4,"variance",3,75
"20","Bannister Fed Complex","PCB4.10",3.54406804435028,3.21127565507873,0.294316710730023,0.932794215133834,1000,4,"variance",3,75
"21","Bannister Fed Complex","PCB4.10",3.7057782128286,3.73329709739772,0.294316710730023,0.932794215133834,1000,4,"variance",3,75
"22","Bannister Fed Complex","PCB4.10",3.51454775266029,3.80290185213306,0.294316710730023,0.932794215133834,1000,4,"variance",3,75
"23","Bannister Fed Complex","PCB5.8",2.92941892571429,2.98391007149625,0.219455030861396,0.716867170878507,1000,2,"variance",10,75
"24","Bannister Fed Complex","PCB5.8",2.66745295288995,3.01901575607248,0.219455030861396,0.716867170878507,1000,2,"variance",10,75
"25","Bannister Fed Complex","PCB5.8",2.34830486304816,2.40333040746484,0.219455030861396,0.716867170878507,1000,2,"variance",10,75
"26","Bannister Fed Complex","PCB5.8",2.71933128698373,2.71616893274272,0.219455030861396,0.716867170878507,1000,2,"variance",10,75
"27","Bannister Fed Complex","PCB5.8",2.39093510710338,2.55065389100006,0.219455030861396,0.716867170878507,1000,2,"variance",10,75
"28","Bannister Fed Complex","PCB5.8",2.79239168949825,2.32596219925934,0.219455030861396,0.716867170878507,1000,2,"variance",10,75
"29","Bannister Fed Complex","PCB5.8",2.75358305889291,2.69619138070658,0.219455030861396,0.716867170878507,1000,2,"variance",10,75
"30","Bannister Fed Complex","PCB5.8",3.32428245529769,3.22774116894248,0.219455030861396,0.716867170878507,1000,2,"variance",10,75
"31","Bannister Fed Complex","PCB11",2.26717172840301,2.47669011881392,0.250960652260112,0.875498996336349,100,2,"variance",10,85.7142857142857
"32","Bannister Fed Complex","PCB11",2.20682587603185,2.47431081585965,0.250960652260112,0.875498996336349,100,2,"variance",10,85.7142857142857
"33","Bannister Fed Complex","PCB11",2.46389298898591,2.43436864693248,0.250960652260112,0.875498996336349,100,2,"variance",10,85.7142857142857
"34","Bannister Fed Complex","PCB11",2.56584781867352,2.62556595796111,0.250960652260112,0.875498996336349,100,2,"variance",10,85.7142857142857
"35","Bannister Fed Complex","PCB11",2.32633586092875,2.31891171844286,0.250960652260112,0.875498996336349,100,2,"variance",10,85.7142857142857
"36","Bannister Fed Complex","PCB11",2.31386722036915,2.33181879943851,0.250960652260112,0.875498996336349,100,2,"variance",10,85.7142857142857
"37","Bannister Fed Complex","PCB11",3.41161970596323,2.84539777605563,0.250960652260112,0.875498996336349,100,2,"variance",10,85.7142857142857
"38","Bannister Fed Complex","PCB15",2.79239168949825,2.84941839055268,0.342171690272609,0.493996764492648,500,2,"variance",10,55.5555555555556
"39","Bannister Fed Complex","PCB15",2.65991620006985,2.90313133955399,0.342171690272609,0.493996764492648,500,2,"variance",10,55.5555555555556
